update,frames,FPS,duration,return_mean,return_std,return_min,return_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm
1,1024,1891.2945606923026,0,-529.8783783783783,249.96965776424892,-1176.5,-268.0,22.35135135135135,22.136207610226254,1.0,85.0,1.0069168210029602,-2.123253881931305,200.04547500610352,46846.7216796875,81.2462783645021
2,2048,2319.1919841202985,0,-731.5833333333334,310.6290772144667,-1299.5,-333.0,43.44444444444444,34.98288823318913,4.0,139.0,1.0018924325704575,-4.236278414726257,174.36822128295898,36148.2744140625,63.42530850781542
3,3072,2233.2992898626158,1,-637.4117647058823,378.73724926291413,-1971.0,-292.0,34.55882352941177,41.93425609105322,1.0,190.0,0.9062800407409668,-5.942162036895752,210.05825805664062,48517.69921875,51.87071694344819
4,4096,2293.2519125706403,1,-807.4,524.079874637445,-2136.0,-336.0,46.4,42.68770314739363,5.0,169.0,1.003693088889122,-7.441439390182495,183.65631484985352,39107.1533203125,101.37354663451028
5,5120,2313.9578764870457,2,-690.5666666666667,349.0106906990418,-1503.5,-318.0,33.666666666666664,29.24304285732857,3.0,84.0,1.0416631400585175,-8.654287815093994,178.21328735351562,36809.2041015625,127.3357329887641
6,6144,2283.037880644316,2,-1007.9772727272727,667.2545254670052,-2676.5,-308.5,70.0,71.14965022593384,2.0,292.0,1.0077868402004242,-9.679860591888428,183.8730697631836,38688.236328125,138.41136499187536
7,7168,2324.4523402461286,3,-884.8333333333334,417.3436500322273,-1873.0,-330.0,55.333333333333336,46.66964276224487,3.0,185.0,0.8617353737354279,-10.627980470657349,169.54104232788086,33427.7685546875,132.54454612559684
8,8192,2329.732822361266,3,-1184.3,769.588143099931,-2695.0,-310.0,85.7,70.94793865927325,2.0,222.0,0.9529584497213364,-11.511761903762817,157.97223663330078,29618.67041015625,75.89617359920176
9,9216,2303.5540414138727,4,-1314.892857142857,823.9476010249039,-3016.5,-373.0,111.14285714285714,110.50717956175461,8.0,413.0,0.871218279004097,-12.373419523239136,167.22121047973633,32528.58251953125,133.98703265461228
10,10240,2340.368640020227,4,-1026.2272727272727,531.7137970595375,-2077.0,-269.5,71.0909090909091,46.03843166402006,25.0,163.0,0.6025728732347488,-13.209962606430054,163.47515487670898,30839.677734375,84.35931873878211
11,11264,2378.383017274557,5,-1573.0625,569.8647557480195,-2837.0,-822.0,137.25,58.62753192826729,44.0,214.0,0.6556452810764313,-14.033826351165771,138.54927825927734,22062.41015625,82.7402606905454
12,12288,2308.7460999632854,5,-1466.7272727272727,907.109579519585,-3502.5,-402.5,108.45454545454545,88.708269201881,9.0,313.0,0.9284469783306122,-14.84765100479126,178.30065536499023,34415.26171875,124.39099792941113
13,13312,2181.0256413381394,5,-777.6212121212121,589.413345088341,-3088.5,-288.5,48.515151515151516,69.93335407983683,1.0,384.0,0.8783005774021149,-15.710610389709473,204.57320022583008,46318.8251953125,86.09820549520698
14,14336,2298.3951225490064,6,-653.25,225.60420418166956,-1373.0,-352.0,35.5,19.227439882741656,6.0,83.0,0.979175791144371,-16.53703212738037,180.2469139099121,36834.7001953125,106.97322943330533
