update,frames,FPS,duration,return_mean,return_std,return_min,return_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm
1,1024,1538.834567037805,0,-570.4090909090909,263.79248773235,-1263.0,-300.0,24.636363636363637,23.199814761300956,1.0,88.0,1.0784015953540802,-0.9217986837029457,209.57841873168945,47908.4775390625,29.920266066698918
2,2048,1730.8631555870431,1,-546.0147058823529,224.88178218834804,-1159.5,-299.5,25.294117647058822,20.357870875275598,1.0,90.0,1.0585031658411026,-2.800004690885544,195.71764183044434,43950.2890625,86.64269809803056
3,3072,1879.8577057245277,1,-613.1666666666666,313.83404142246195,-1370.0,-300.0,34.44444444444444,31.558098489086976,1.0,104.0,1.061215803027153,-4.672318756580353,154.7119960784912,29626.55419921875,59.093575108343664
4,4096,1907.8093721904572,2,-1250.0,832.8249843427217,-3194.0,-377.0,113.18181818181819,126.5175648472418,8.0,450.0,1.086713433265686,-5.861217975616455,160.1024055480957,31733.714111328125,101.34779216484367
5,5120,1778.8617004224984,2,-624.6276595744681,438.50351739394625,-2803.5,-203.0,31.78723404255319,42.316405032831774,1.0,232.0,1.0642871111631393,-6.665473759174347,224.87551498413086,54700.224609375,100.77199631256539
6,6144,1862.7994580274908,3,-579.984375,234.6675002921354,-1092.5,-300.0,29.15625,24.55874255611431,1.0,94.0,1.0328404158353806,-7.651883065700531,197.01264762878418,43279.58154296875,55.93961864117466
7,7168,1862.7978421740643,4,-636.9545454545455,391.5379323633137,-1759.5,-300.0,34.36363636363637,37.350362605694464,1.0,134.0,1.0449432134628296,-8.655568361282349,177.48980522155762,35487.8037109375,112.67104497267854
8,8192,1914.9280797472186,4,-875.8666666666667,494.6055150880907,-1989.5,-314.5,55.8,44.299285171057406,2.0,127.0,1.0219682827591896,-9.531166791915894,165.2173957824707,32143.525634765625,24.81506823401367
9,9216,1886.7706262500774,5,-700.4807692307693,444.33696241550626,-1994.5,-189.0,46.46153846153846,46.60573649837768,2.0,157.0,1.0293419361114502,-10.28646981716156,175.8944606781006,35474.08544921875,127.54295361967505
10,10240,1911.361672434172,5,-1032.0294117647059,867.3122863629482,-4056.0,-310.0,74.47058823529412,87.0261067300793,2.0,374.0,1.01949892193079,-11.013683795928955,186.3749599456787,38719.83544921875,129.53385292112915
11,11264,1890.2441078508002,6,-910.8571428571429,475.30397899552617,-1986.0,-348.0,59.357142857142854,41.949982364813486,5.0,136.0,0.9431310817599297,-11.673709154129028,166.22106170654297,32439.182373046875,86.86442606403871
12,12288,1911.366776053752,6,-1049.2,273.1502516930929,-1509.0,-580.0,76.5,27.42353004264768,32.0,118.0,0.9362783655524254,-12.39082384109497,171.522855758667,32436.018310546875,74.40762681285884
13,13312,1886.766481986185,7,-1168.6875,752.7533600680571,-2485.0,-350.0,87.125,78.09999599871949,7.0,254.0,0.9254966080188751,-13.0361487865448,148.50098991394043,25173.7451171875,42.06687488031588
14,14336,1943.9457266135212,7,-1768.0,983.3681632249666,-3261.5,-317.5,155.11111111111111,97.14072774925212,24.0,353.0,0.9132672399282455,-13.724672555923462,164.32824897766113,30676.927001953125,52.47317900573812
15,15360,1943.9430870684935,8,-1754.5625,872.8692426954624,-3570.5,-317.5,153.0,92.94622100978609,24.0,369.0,0.8928762674331665,-14.35332465171814,160.19876670837402,28476.14892578125,46.65236408029522
16,16384,1900.7459194502444,8,-1861.6875,1305.1372997097853,-4227.0,-328.0,150.375,116.10548813471308,3.0,369.0,0.977673314511776,-15.02760374546051,151.9746799468994,25522.76123046875,218.89467424504303
17,17408,1879.8568829328267,9,-1081.5,830.5271481113667,-2718.0,-313.5,88.625,97.96483744180868,2.0,301.0,0.9721728786826134,-15.716074347496033,184.03802490234375,36288.86181640625,190.05503810349956
18,18432,1866.1843500023897,9,-1403.9,1295.017158187489,-5032.5,-344.5,92.7,109.14123876885401,5.0,401.0,0.931303896009922,-16.397814989089966,179.65349006652832,36037.7421875,47.71815388046414
19,19456,1900.7476018091538,10,-2364.8125,1674.9501846603528,-5058.5,-544.0,176.0,145.76950984345115,20.0,431.0,0.8906020745635033,-17.052159547805786,174.77267837524414,34624.288330078125,61.81816307005876
20,20480,1907.8110670763938,11,-2359.5625,1666.6254347764377,-5058.5,-544.0,182.125,155.78064505900596,20.0,450.0,0.9801423326134682,-17.71541452407837,160.84278869628906,29686.516845703125,176.75606180939081
21,21504,1904.2651856883294,11,-1703.1923076923076,1486.9136793845257,-4960.0,-362.5,133.76923076923077,135.19737926804183,6.0,450.0,1.0199444890022278,-18.359729766845703,163.392183303833,30016.17236328125,40.55232572257958
22,22528,1914.9357637820692,12,-2307.5625,1480.3456192199678,-5282.0,-675.0,190.75,131.99408130670102,38.0,425.0,1.012627273797989,-19.01665425300598,179.75745010375977,34886.099609375,40.66289837253338
23,23552,1932.9607630730125,12,-1446.8125,738.1687195985414,-2634.0,-601.5,102.5,58.01723881744115,32.0,186.0,0.9730762541294098,-19.6657612323761,145.5446262359619,23849.078369140625,56.173002058298515
24,24576,1947.6340016406505,13,-1766.85,1199.9242694853704,-3483.5,-342.0,147.0,123.29801296046908,5.0,348.0,0.9658168181777,-20.312496423721313,160.11022186279297,29794.603271484375,42.64073184388346
25,25600,1846.047213607986,13,-1157.7,807.2207938352431,-2633.5,-321.0,93.8,98.73479629796174,3.0,323.0,0.9208864942193031,-20.962679386138916,177.52264022827148,34928.41796875,43.208687066698445
26,26624,1911.3608218335587,14,-1259.75,818.8519783819295,-2899.0,-300.0,78.25,59.436415605249955,1.0,193.0,0.8661312758922577,-21.60468339920044,163.28532600402832,30297.00341796875,163.97149701058493
27,27648,1897.2312563609635,14,-1245.0,1267.9746645733896,-4857.0,-315.5,98.9,125.96305013772889,2.0,450.0,0.9251649007201195,-22.238640546798706,156.30686569213867,27986.564697265625,84.3091856439772
28,28672,1879.8593513100902,15,-1105.4130434782608,1225.047280828234,-4417.0,-224.5,77.73913043478261,120.902122609232,4.0,450.0,0.9291725531220436,-22.85979175567627,182.72411346435547,38069.9140625,75.11083116886601
29,29696,1846.0464201470315,15,-678.9,618.6971472376448,-3172.5,-300.0,40.2,58.67128769679425,1.0,258.0,0.8991321325302124,-23.469678163528442,184.01189994812012,37994.45263671875,55.12264288129926
30,30720,1893.731237147221,16,-599.921052631579,269.04026616836484,-1197.0,-300.0,28.0,22.43118130497906,1.0,70.0,0.9152209758758545,-24.127979040145874,181.2892780303955,36883.92236328125,40.717745537210085
31,31744,1879.8593513100902,17,-1454.9166666666667,1046.422154958929,-4020.0,-332.0,104.41666666666667,89.4170549851773,5.0,293.0,0.9087133929133415,-24.767608404159546,176.72148513793945,34849.48388671875,64.32486174932015
32,32768,1872.996890234569,17,-1593.611111111111,920.4905026300372,-2939.5,-373.5,111.11111111111111,72.3823865076526,14.0,214.0,0.926441103219986,-25.394734621047974,167.5942611694336,31786.72802734375,30.545069871188435
33,33792,1947.6322352594407,18,-1217.25,680.4892082171473,-2444.0,-443.0,84.875,66.1710614619412,14.0,234.0,0.9146979451179504,-26.016447067260742,163.12493705749512,29021.20166015625,169.5469226415381
