episode,return_per_episode,num_frames_per_episode
1,118.0,84.0
2,118.0,84.0
3,118.0,84.0
4,118.0,84.0
5,118.0,84.0
6,118.0,84.0
7,159.5,70.0
8,159.5,70.0
9,159.5,70.0
10,159.5,70.0
11,159.5,70.0
12,159.5,70.0
13,3.0,80.0
14,3.0,80.0
15,3.0,80.0
16,3.0,80.0
17,3.0,80.0
18,3.0,80.0
19,213.5,63.0
20,213.5,63.0
21,213.5,63.0
22,213.5,63.0
23,213.5,63.0
24,213.5,63.0
25,-80.5,99.0
26,-80.5,99.0
27,-80.5,99.0
28,-80.5,99.0
29,-80.5,99.0
30,-80.5,99.0
31,324.5,55.0
32,324.5,55.0
33,324.5,55.0
34,324.5,55.0
35,324.5,55.0
36,324.5,55.0
37,-389.5,121.0
38,-389.5,121.0
39,-389.5,121.0
40,-389.5,121.0
41,-389.5,121.0
42,-389.5,121.0
43,365.5,62.0
44,365.5,62.0
45,365.5,62.0
46,365.5,62.0
47,365.5,62.0
48,365.5,62.0
49,269.5,59.0
50,269.5,59.0
51,269.5,59.0
52,269.5,59.0
53,269.5,59.0
54,269.5,59.0
55,149.0,75.0
56,149.0,75.0
57,149.0,75.0
58,149.0,75.0
59,149.0,75.0
60,149.0,75.0
61,305.0,60.0
62,305.0,60.0
63,305.0,60.0
64,305.0,60.0
65,305.0,60.0
66,305.0,60.0
67,413.5,58.0
68,413.5,58.0
69,413.5,58.0
70,413.5,58.0
71,413.5,58.0
72,413.5,58.0
73,450.0,47.0
74,450.0,47.0
75,450.0,47.0
76,450.0,47.0
77,450.0,47.0
78,450.0,47.0
79,280.5,74.0
80,280.5,74.0
81,280.5,74.0
82,280.5,74.0
83,280.5,74.0
84,280.5,74.0
85,170.0,96.0
86,170.0,96.0
87,170.0,96.0
88,170.0,96.0
89,170.0,96.0
90,170.0,96.0
91,328.5,54.0
92,328.5,54.0
93,328.5,54.0
94,328.5,54.0
95,328.5,54.0
96,328.5,54.0
97,143.0,73.0
98,143.0,73.0
99,143.0,73.0
100,143.0,73.0
101,143.0,73.0
102,143.0,73.0
103,-3209.5,450.0
104,-3209.5,450.0
105,-3209.5,450.0
106,-3209.5,450.0
107,-3209.5,450.0
108,-3209.5,450.0
109,328.0,54.0
110,328.0,54.0
111,328.0,54.0
112,328.0,54.0
113,328.0,54.0
114,328.0,54.0
115,16.0,90.0
116,16.0,90.0
117,16.0,90.0
118,16.0,90.0
119,16.0,90.0
120,16.0,90.0
121,221.0,71.0
122,221.0,71.0
123,221.0,71.0
124,221.0,71.0
125,221.0,71.0
126,221.0,71.0
127,-2706.5,416.0
128,-2706.5,416.0
129,-2706.5,416.0
130,-2706.5,416.0
131,-2706.5,416.0
132,-2706.5,416.0
133,-1036.0,195.0
134,-1036.0,195.0
135,-1036.0,195.0
136,-1036.0,195.0
137,-1036.0,195.0
138,-1036.0,195.0
139,-185.5,94.0
140,-185.5,94.0
141,-185.5,94.0
142,-185.5,94.0
143,-185.5,94.0
144,-185.5,94.0
145,-279.5,144.0
146,-279.5,144.0
147,-279.5,144.0
148,-279.5,144.0
149,-279.5,144.0
150,-279.5,144.0
151,177.0,66.0
152,177.0,66.0
153,177.0,66.0
154,177.0,66.0
155,177.0,66.0
156,177.0,66.0
157,305.0,60.0
158,305.0,60.0
159,305.0,60.0
160,305.0,60.0
161,305.0,60.0
162,305.0,60.0
163,-846.0,84.0
164,-846.0,84.0
165,-846.0,84.0
166,-846.0,84.0
167,-846.0,84.0
168,-846.0,84.0
169,-328.5,131.0
170,-328.5,131.0
171,-328.5,131.0
172,-328.5,131.0
173,-328.5,131.0
174,-328.5,131.0
175,561.5,30.0
176,561.5,30.0
177,561.5,30.0
178,561.5,30.0
179,561.5,30.0
180,561.5,30.0
181,235.0,85.0
182,235.0,85.0
183,235.0,85.0
184,235.0,85.0
185,235.0,85.0
186,235.0,85.0
187,-525.0,142.0
188,-525.0,142.0
189,-525.0,142.0
190,-525.0,142.0
191,-525.0,142.0
192,-525.0,142.0
193,104.5,68.0
194,104.5,68.0
195,104.5,68.0
196,104.5,68.0
197,104.5,68.0
198,104.5,68.0
199,244.5,81.0
200,244.5,81.0
