episode,return_per_episode,num_frames_per_episode
1,113.5,82.0
2,119.5,84.0
3,85.0,89.0
4,49.0,92.0
5,373.5,10.0
6,228.0,30.0
7,-215.0,69.0
8,84.0,75.0
9,-43.0,80.0
10,-173.0,94.0
11,285.0,104.0
12,304.5,135.0
13,246.0,139.0
14,-237.0,155.0
15,325.0,20.0
16,368.5,26.0
17,283.5,33.0
18,200.5,34.0
19,737.5,66.0
20,91.5,77.0
21,653.0,79.0
22,637.0,82.0
23,15.0,85.0
24,134.5,47.0
25,428.5,47.0
26,316.0,50.0
27,348.0,15.0
28,311.5,19.0
29,601.0,29.0
30,266.5,34.0
31,453.5,57.0
32,385.0,7.0
33,352.0,15.0
34,120.5,44.0
35,46.0,55.0
36,232.0,65.0
37,389.5,6.0
38,301.5,23.0
39,205.5,36.0
40,247.5,44.0
41,448.5,49.0
42,547.5,83.0
43,940.0,88.0
44,536.0,96.0
45,434.0,102.0
46,-155.0,104.0
47,365.5,12.0
48,379.5,47.0
49,398.5,2.0
50,333.5,17.0
51,323.5,17.0
52,-434.0,30.0
53,440.0,49.0
54,374.5,8.0
55,377.0,9.0
56,437.5,18.0
57,328.5,19.0
58,157.0,57.0
59,508.5,90.0
60,427.0,102.0
61,504.5,109.0
62,180.5,140.0
63,39.5,152.0
64,854.5,166.0
65,500.0,175.0
66,312.0,188.0
67,-1210.0,222.0
68,-309.0,4.0
69,372.5,10.0
70,-245.0,13.0
71,453.0,14.0
72,345.0,14.0
73,463.0,47.0
74,392.0,5.0
75,238.5,27.0
76,298.0,32.0
77,363.5,55.0
78,361.0,11.0
79,315.0,19.0
80,295.0,26.0
81,137.0,41.0
82,282.5,46.0
83,-29.5,72.0
84,-54.0,88.0
85,334.0,16.0
86,181.5,41.0
87,155.5,52.0
88,669.5,64.0
89,-83.0,75.0
90,45.0,78.0
91,488.0,38.0
92,353.5,13.0
93,355.0,14.0
94,313.5,20.0
95,207.0,32.0
96,252.5,37.0
97,498.0,43.0
98,436.5,36.0
99,92.0,47.0
100,122.5,67.0
101,325.5,17.0
102,278.5,23.0
103,449.5,30.0
104,259.0,31.0
105,21.0,55.0
106,571.0,78.0
107,688.0,79.0
108,820.0,85.0
109,246.5,99.0
110,-247.5,99.0
111,307.5,22.0
112,346.5,26.0
113,174.0,35.0
114,512.0,37.0
115,327.0,17.0
116,-368.0,24.0
117,174.5,36.0
118,113.5,52.0
119,736.0,74.0
120,113.0,87.0
121,395.0,4.0
122,480.5,9.0
123,-508.0,56.0
124,746.5,63.0
125,886.0,78.0
126,-207.5,85.0
127,-122.0,107.0
128,-79.0,108.0
129,398.5,26.0
130,213.0,39.0
131,177.0,40.0
132,172.5,43.0
133,257.0,57.0
134,551.5,96.0
135,-26.0,112.0
136,281.0,23.0
137,265.5,27.0
138,584.5,28.0
139,-44.0,65.0
140,985.5,79.0
141,560.5,92.0
142,533.5,94.0
143,65.5,98.0
144,-526.0,145.0
145,400.0,1.0
146,391.5,5.0
147,293.0,34.0
148,181.0,44.0
149,45.5,82.0
150,-0.5,88.0
151,322.5,17.0
152,254.0,31.0
153,-394.5,32.0
154,196.5,35.0
155,610.0,79.0
156,207.5,80.0
157,398.5,2.0
158,391.5,5.0
159,222.5,32.0
160,276.5,35.0
161,790.0,51.0
162,279.5,69.0
163,687.0,86.0
164,-52.5,88.0
165,322.0,18.0
166,328.0,18.0
167,557.5,28.0
168,280.5,25.0
169,87.5,54.0
170,54.0,64.0
171,282.5,69.0
172,216.5,71.0
173,296.5,20.0
174,218.0,39.0
175,368.0,46.0
176,458.5,53.0
177,389.0,6.0
178,418.0,30.0
179,503.0,35.0
180,413.0,44.0
181,847.0,50.0
182,100.5,51.0
183,389.5,51.0
184,478.5,35.0
185,298.0,40.0
186,403.0,42.0
187,264.5,67.0
188,396.5,3.0
189,294.0,20.0
190,340.0,31.0
191,598.0,76.0
192,-96.5,93.0
193,32.0,117.0
194,358.5,121.0
195,862.5,129.0
196,-209.5,134.0
197,358.0,13.0
198,724.0,63.0
199,-107.5,63.0
200,119.0,74.0
