episode,return_per_episode,num_frames_per_episode
1,-316.5,3.0
2,-316.5,3.0
3,-316.5,3.0
4,-316.5,3.0
5,-332.5,5.0
6,-644.0,6.0
7,-644.0,6.0
8,-644.0,6.0
9,-644.0,6.0
10,-348.0,7.0
11,-309.0,2.0
12,-314.0,2.0
13,-314.0,2.0
14,-314.0,2.0
15,-314.0,2.0
16,-622.5,4.0
17,-626.0,4.0
18,-639.0,5.0
19,-639.0,5.0
20,-662.5,7.0
21,-376.0,7.0
22,-313.5,2.0
23,-313.5,2.0
24,-311.0,2.0
25,-300.0,1.0
26,-312.5,2.0
27,-313.0,3.0
28,-284.5,14.0
29,-623.5,18.0
30,454.5,41.0
31,154.5,42.0
32,-141.5,42.0
33,-158.5,44.0
34,-458.5,45.0
35,-832.5,51.0
36,-1140.5,53.0
37,-1469.0,57.0
38,-1769.0,58.0
39,-2112.5,63.0
40,-2476.5,69.0
41,-2806.0,72.0
42,-771.0,73.0
43,-3130.0,76.0
44,-3476.5,82.0
45,-3776.5,83.0
46,-4105.0,86.0
47,-1033.0,87.0
48,-1156.5,97.0
49,-1494.5,103.0
50,-1811.0,105.0
51,-2138.5,108.0
52,-2438.5,109.0
53,-588.0,114.0
54,-919.5,118.0
55,-4554.0,120.0
56,-1233.5,120.0
57,-4875.5,123.0
58,-897.0,126.0
59,-1912.5,130.0
60,-1235.5,131.0
61,-2272.5,137.0
62,-5254.0,145.0
63,-2650.0,168.0
64,-3018.0,177.0
65,-2066.0,188.0
66,-2419.0,194.0
67,-2743.0,197.0
68,-5892.5,199.0
69,-6116.0,204.0
70,-6479.0,210.0
71,-6792.0,212.0
72,-2936.0,212.0
73,-7009.5,226.0
74,-3428.0,238.0
75,-2309.0,238.0
76,-2619.5,240.0
77,-2919.5,241.0
78,-3761.5,242.0
79,-4114.5,248.0
80,-4414.5,249.0
81,-4724.5,251.0
82,-5051.0,254.0
83,-7487.5,263.0
84,-7817.5,266.0
85,-8129.0,268.0
86,-4078.0,277.0
87,-5346.0,279.0
88,-7663.5,293.0
89,-5794.5,294.0
90,-4423.5,301.0
91,-4758.0,306.0
92,-5069.5,308.0
93,-5390.0,311.0
94,-5706.5,314.0
95,-6054.5,318.0
96,-7207.5,319.0
97,-6378.5,321.0
98,-6723.5,325.0
99,-6238.5,350.0
100,-6801.0,351.0
101,-7112.0,353.0
102,-6569.0,354.0
103,-6881.5,356.0
104,-7192.0,358.0
105,-3471.5,358.0
106,-7541.5,363.0
107,-3707.0,364.0
108,-7500.5,367.0
109,-7813.5,369.0
110,-8142.5,372.0
111,-8513.5,378.0
112,-3282.0,398.0
113,-7942.5,400.0
114,-8242.5,401.0
115,-3638.5,403.0
116,-8904.5,405.0
117,-3965.5,406.0
118,-9240.5,409.0
119,-4227.0,418.0
120,-9735.0,445.0
121,-10051.5,447.0
122,-8725.0,448.0
123,-1169.5,448.0
124,-10364.0,449.0
125,-1482.5,450.0
126,-1174.0,450.0
127,-300.0,1.0
128,-310.0,2.0
129,-313.0,2.0
130,-333.0,4.0
131,-646.0,6.0
132,-953.0,8.0
133,-244.0,18.0
134,-573.0,21.0
135,429.5,29.0
136,408.0,31.0
137,-341.0,4.0
138,-342.0,4.0
139,400.0,1.0
140,-327.0,3.0
141,80.5,4.0
142,-229.5,7.0
143,-594.5,14.0
144,-956.0,20.0
145,-1228.0,32.0
146,543.0,32.0
147,202.5,36.0
148,-428.5,36.0
149,-209.5,12.0
150,-519.0,15.0
151,-834.0,17.0
152,-1155.5,20.0
153,239.0,25.0
154,-61.0,26.0
155,-286.0,27.0
156,474.5,27.0
157,-316.5,2.0
158,-314.5,2.0
159,-300.0,1.0
160,-324.5,3.0
161,-310.5,2.0
162,-315.5,2.0
163,-300.0,1.0
164,-631.5,5.0
165,-352.0,7.0
166,-871.0,13.0
167,529.5,19.0
168,-549.0,21.0
169,-849.0,22.0
170,188.5,23.0
171,-1161.0,24.0
172,-123.5,25.0
173,489.0,25.0
174,-300.0,1.0
175,-308.0,2.0
176,-356.5,9.0
177,-687.5,13.0
178,-1016.0,16.0
179,-1358.5,20.0
180,201.5,21.0
181,-1658.5,21.0
182,-110.5,23.0
183,-421.0,25.0
184,-2039.5,27.0
185,-591.5,28.0
186,-2339.5,28.0
187,-891.5,29.0
188,-773.5,30.0
189,-2665.0,32.0
190,-1217.0,33.0
191,-2996.5,36.0
192,-1555.5,38.0
193,-3322.0,39.0
194,-1871.5,40.0
195,-3641.5,42.0
196,-3875.0,63.0
197,-1344.5,64.0
198,-4175.0,64.0
199,-4512.5,68.0
200,-1261.5,69.0
