episode,return_per_episode,num_frames_per_episode
1,364.5,41.0
2,364.5,41.0
3,364.5,41.0
4,364.5,41.0
5,364.5,41.0
6,364.5,41.0
7,382.0,37.0
8,382.0,37.0
9,382.0,37.0
10,382.0,37.0
11,382.0,37.0
12,382.0,37.0
13,221.5,47.0
14,221.5,47.0
15,221.5,47.0
16,221.5,47.0
17,221.5,47.0
18,221.5,47.0
19,323.0,36.0
20,323.0,36.0
21,323.0,36.0
22,323.0,36.0
23,323.0,36.0
24,323.0,36.0
25,151.5,51.0
26,151.5,51.0
27,151.5,51.0
28,151.5,51.0
29,151.5,51.0
30,151.5,51.0
31,428.5,30.0
32,428.5,30.0
33,428.5,30.0
34,428.5,30.0
35,428.5,30.0
36,428.5,30.0
37,410.0,31.0
38,410.0,31.0
39,410.0,31.0
40,410.0,31.0
41,410.0,31.0
42,410.0,31.0
43,348.0,50.0
44,348.0,50.0
45,348.0,50.0
46,348.0,50.0
47,348.0,50.0
48,348.0,50.0
49,248.0,43.0
50,248.0,43.0
51,248.0,43.0
52,248.0,43.0
53,248.0,43.0
54,248.0,43.0
55,356.0,33.0
56,356.0,33.0
57,356.0,33.0
58,356.0,33.0
59,356.0,33.0
60,356.0,33.0
61,386.5,40.0
62,386.5,40.0
63,386.5,40.0
64,386.5,40.0
65,386.5,40.0
66,386.5,40.0
67,157.0,60.0
68,157.0,60.0
69,157.0,60.0
70,157.0,60.0
71,157.0,60.0
72,157.0,60.0
73,408.5,42.0
74,408.5,42.0
75,408.5,42.0
76,408.5,42.0
77,408.5,42.0
78,408.5,42.0
79,230.0,52.0
80,230.0,52.0
81,230.0,52.0
82,230.0,52.0
83,230.0,52.0
84,230.0,52.0
85,388.0,43.0
86,388.0,43.0
87,388.0,43.0
88,388.0,43.0
89,388.0,43.0
90,388.0,43.0
91,365.5,34.0
92,365.5,34.0
93,365.5,34.0
94,365.5,34.0
95,365.5,34.0
96,365.5,34.0
97,246.5,48.0
98,246.5,48.0
99,246.5,48.0
100,246.5,48.0
101,246.5,48.0
102,246.5,48.0
103,184.0,48.0
104,184.0,48.0
105,184.0,48.0
106,184.0,48.0
107,184.0,48.0
108,184.0,48.0
109,220.0,48.0
110,220.0,48.0
111,220.0,48.0
112,220.0,48.0
113,220.0,48.0
114,220.0,48.0
115,422.0,33.0
116,422.0,33.0
117,422.0,33.0
118,422.0,33.0
119,422.0,33.0
120,422.0,33.0
121,358.0,44.0
122,358.0,44.0
123,358.0,44.0
124,358.0,44.0
125,358.0,44.0
126,358.0,44.0
127,400.5,39.0
128,400.5,39.0
129,400.5,39.0
130,400.5,39.0
131,400.5,39.0
132,400.5,39.0
133,306.5,46.0
134,306.5,46.0
135,306.5,46.0
136,306.5,46.0
137,306.5,46.0
138,306.5,46.0
139,427.5,29.0
140,427.5,29.0
141,427.5,29.0
142,427.5,29.0
143,427.5,29.0
144,427.5,29.0
145,389.0,32.0
146,389.0,32.0
147,389.0,32.0
148,389.0,32.0
149,389.0,32.0
150,389.0,32.0
151,433.0,34.0
152,433.0,34.0
153,433.0,34.0
154,433.0,34.0
155,433.0,34.0
156,433.0,34.0
157,214.0,48.0
158,214.0,48.0
159,214.0,48.0
160,214.0,48.0
161,214.0,48.0
162,214.0,48.0
163,383.0,36.0
164,383.0,36.0
165,383.0,36.0
166,383.0,36.0
167,383.0,36.0
168,383.0,36.0
169,271.0,41.0
170,271.0,41.0
171,271.0,41.0
172,271.0,41.0
173,271.0,41.0
174,271.0,41.0
175,401.0,33.0
176,401.0,33.0
177,401.0,33.0
178,401.0,33.0
179,401.0,33.0
180,401.0,33.0
181,323.5,43.0
182,323.5,43.0
183,323.5,43.0
184,323.5,43.0
185,323.5,43.0
186,323.5,43.0
187,190.5,48.0
188,190.5,48.0
189,190.5,48.0
190,190.5,48.0
191,190.5,48.0
192,190.5,48.0
193,402.0,29.0
194,402.0,29.0
195,402.0,29.0
196,402.0,29.0
197,402.0,29.0
198,402.0,29.0
199,203.0,46.0
200,203.0,46.0
