episode,return_per_episode,num_frames_per_episode
1,356.5,42.0
2,356.5,42.0
3,360.5,42.0
4,356.5,42.0
5,360.5,42.0
6,389.0,6.0
7,444.5,27.0
8,431.0,28.0
9,408.0,33.0
10,315.5,38.0
11,742.5,46.0
12,177.5,50.0
13,386.0,7.0
14,337.5,16.0
15,406.5,22.0
16,436.5,28.0
17,829.0,42.0
18,187.5,47.0
19,802.5,62.0
20,702.0,64.0
21,642.0,66.0
22,1270.5,69.0
23,-126.0,95.0
24,400.0,1.0
25,381.5,8.0
26,349.5,13.0
27,302.0,20.0
28,298.0,21.0
29,389.5,39.0
30,362.5,10.0
31,339.5,16.0
32,398.5,35.0
33,126.5,42.0
34,362.5,42.0
35,288.5,42.0
36,394.0,4.0
37,339.0,15.0
38,343.5,17.0
39,346.0,36.0
40,267.0,40.0
41,400.0,1.0
42,392.5,5.0
43,350.5,15.0
44,313.5,18.0
45,300.5,31.0
46,393.0,31.0
47,361.0,13.0
48,405.0,21.0
49,307.5,23.0
50,255.0,28.0
51,407.0,31.0
52,334.0,46.0
53,335.0,15.0
54,304.5,19.0
55,306.0,21.0
56,475.0,28.0
57,386.5,7.0
58,361.5,11.0
59,461.0,26.0
60,430.5,36.0
61,-549.0,41.0
62,741.5,45.0
63,712.0,45.0
64,165.0,47.0
65,331.5,16.0
66,401.5,24.0
67,480.5,29.0
68,436.0,30.0
69,341.0,16.0
70,351.0,27.0
71,249.5,33.0
72,363.5,33.0
73,398.5,2.0
74,398.5,2.0
75,321.5,20.0
76,468.5,27.0
77,400.0,33.0
78,388.5,6.0
79,389.5,6.0
80,335.5,15.0
81,336.0,17.0
82,270.0,32.0
83,797.0,37.0
84,322.0,43.0
85,372.0,8.0
86,361.0,13.0
87,307.0,20.0
88,385.5,34.0
89,368.5,9.0
90,362.5,10.0
91,336.0,14.0
92,313.5,18.0
93,240.5,33.0
94,452.5,33.0
95,361.5,12.0
96,346.0,17.0
97,508.5,20.0
98,475.5,24.0
99,423.0,28.0
100,340.0,16.0
101,341.5,16.0
102,467.0,26.0
103,452.5,31.0
104,798.0,42.0
105,426.5,42.0
106,377.5,9.0
107,359.0,13.0
108,287.0,23.0
109,373.5,33.0
110,385.5,7.0
111,374.5,8.0
112,374.5,9.0
113,409.5,19.0
114,316.5,19.0
115,744.0,43.0
116,394.0,45.0
117,395.0,4.0
118,366.5,12.0
119,324.0,18.0
120,322.5,18.0
121,385.5,33.0
122,394.5,4.0
123,386.0,7.0
124,-369.0,11.0
125,326.0,16.0
126,301.5,22.0
127,728.5,43.0
128,82.5,44.0
129,717.5,47.0
130,721.5,57.0
131,619.5,59.0
132,258.5,59.0
133,518.5,18.0
134,285.0,24.0
135,494.0,27.0
136,442.5,31.0
137,388.5,32.0
138,385.5,7.0
139,395.5,21.0
140,412.5,32.0
141,202.5,33.0
142,776.5,38.0
143,354.0,44.0
144,369.5,14.0
145,388.5,24.0
146,347.5,40.0
147,389.5,6.0
148,389.5,6.0
149,390.0,6.0
150,368.5,9.0
151,309.5,18.0
152,424.5,36.0
153,392.0,5.0
154,390.5,6.0
155,374.0,8.0
156,341.5,15.0
157,480.0,23.0
158,864.5,28.0
159,377.0,33.0
160,395.0,4.0
161,363.0,11.0
162,328.5,16.0
163,439.0,30.0
164,383.5,8.0
165,343.0,14.0
166,338.5,15.0
167,339.0,17.0
168,301.0,21.0
169,364.5,41.0
170,398.5,2.0
171,391.0,5.0
172,378.5,7.0
173,336.0,18.0
174,285.0,21.0
175,787.5,42.0
176,736.5,42.0
177,304.0,44.0
178,400.0,1.0
179,397.0,3.0
180,380.5,6.0
181,404.0,31.0
182,810.5,37.0
183,367.5,38.0
184,314.5,41.0
185,400.0,1.0
186,395.5,32.0
187,396.5,3.0
188,391.0,5.0
189,381.5,8.0
190,382.5,8.0
191,319.0,18.0
192,820.5,36.0
193,701.5,45.0
194,696.5,52.0
195,217.0,52.0
196,398.5,2.0
197,396.5,3.0
198,358.5,11.0
199,421.5,29.0
200,398.5,2.0
