episode,return_per_episode,num_frames_per_episode
1,-317.0,3.0
2,-329.5,5.0
3,-332.5,5.0
4,-300.0,1.0
5,-308.5,2.0
6,-600.0,2.0
7,-900.0,3.0
8,-1200.0,4.0
9,-342.5,5.0
10,-1500.0,5.0
11,-342.5,5.0
12,-319.5,4.0
13,-702.0,17.0
14,-1019.5,20.0
15,-1330.0,22.0
16,-1647.5,25.0
17,-307.0,30.0
18,-625.0,34.0
19,-942.5,37.0
20,-1258.0,40.0
21,-1558.0,41.0
22,-1853.0,55.0
23,-2177.5,58.0
24,-2496.0,61.0
25,-798.5,71.0
26,-376.0,12.0
27,-318.0,3.0
28,400.0,1.0
29,-310.5,3.0
30,-300.0,1.0
31,-606.5,3.0
32,-361.5,7.0
33,-357.5,13.0
34,-317.0,3.0
35,-321.0,4.0
36,-343.5,5.0
37,-345.0,9.0
38,-657.0,11.0
39,-624.0,18.0
40,-940.5,21.0
41,-207.0,25.0
42,-300.0,1.0
43,-216.5,25.0
44,515.5,26.0
45,-539.5,30.0
46,271.5,34.0
47,-536.5,37.0
48,-902.5,46.0
49,-825.0,56.0
50,-1132.0,58.0
51,-1148.0,70.0
52,772.0,72.0
53,-1500.5,77.0
54,-1807.5,79.0
55,-2107.5,80.0
56,-784.0,97.0
57,-326.0,4.0
58,-239.5,8.0
59,-539.5,9.0
60,-847.5,11.0
61,-398.0,12.0
62,-313.0,2.0
63,-304.5,2.0
64,-306.5,2.0
65,-320.5,4.0
66,-330.5,5.0
67,-359.0,13.0
68,-312.5,2.0
69,-338.0,5.0
70,-398.0,14.0
71,549.0,16.0
72,-222.0,18.0
73,-723.5,18.0
74,-114.0,19.0
75,-320.0,4.0
76,-320.0,4.0
77,-345.0,5.0
78,-342.5,5.0
79,-300.0,1.0
80,-311.0,2.0
81,-622.0,4.0
82,-968.0,19.0
83,-1274.5,21.0
84,-1582.5,23.0
85,-271.0,23.0
86,-496.5,33.0
87,-638.0,44.0
88,-1905.5,46.0
89,-2210.0,48.0
90,-964.5,49.0
91,-1330.0,59.0
92,-1640.0,61.0
93,-781.5,96.0
94,395.0,4.0
95,73.5,7.0
96,-249.0,10.0
97,-385.0,18.0
98,-515.0,18.0
99,-815.0,19.0
100,-1115.0,20.0
101,-1312.5,47.0
102,-1622.0,49.0
103,380.0,51.0
104,-309.5,2.0
105,-309.0,2.0
106,-300.0,1.0
107,-332.5,7.0
108,-311.5,33.0
109,-641.0,38.0
110,-476.5,42.0
111,-395.0,48.0
112,-308.0,2.0
113,-626.0,5.0
114,-963.5,13.0
115,-456.5,14.0
116,-778.5,17.0
117,-217.5,22.0
118,-528.0,24.0
119,-845.0,27.0
120,-1162.5,30.0
121,-243.5,32.0
122,-324.5,3.0
123,-632.0,5.0
124,-941.5,7.0
125,-255.5,11.0
126,-567.0,13.0
127,-892.0,18.0
128,-1199.0,20.0
129,-1507.0,22.0
130,465.0,31.0
131,-1907.5,34.0
132,125.5,36.0
133,-458.5,41.0
134,-200.0,43.0
135,-2261.0,46.0
136,-524.5,47.0
137,-798.0,48.0
138,-731.5,50.0
139,-1184.0,61.0
140,-1498.5,64.0
141,-1047.0,107.0
142,-1347.0,108.0
143,-1678.5,112.0
144,-1990.5,114.0
145,-1195.5,114.0
146,-2317.5,119.0
147,-1564.5,124.0
148,-1874.0,127.0
149,-2174.0,128.0
150,-2492.5,131.0
151,-2800.0,133.0
152,-2853.0,139.0
153,-3172.5,143.0
154,-3492.5,148.0
155,-3815.0,154.0
156,-2668.0,165.0
157,-2355.5,173.0
158,-3968.0,177.0
159,-4276.0,179.0
160,-2886.5,185.0
161,-1823.0,202.0
162,-4523.0,203.0
163,-4831.5,205.0
164,-2135.0,206.0
165,-2447.5,208.0
166,-3165.5,210.0
167,-3474.5,212.0
168,-3807.0,217.0
169,-5134.0,218.0
170,-5434.0,219.0
171,-4121.5,220.0
172,-4421.5,221.0
173,-2136.5,221.0
174,-311.5,2.0
175,-306.5,2.0
176,-538.0,10.0
177,-848.5,13.0
178,-223.0,14.0
179,-1222.5,25.0
180,-1549.5,29.0
181,-305.5,31.0
182,-188.0,36.0
183,-632.5,36.0
184,-498.5,38.0
185,-818.0,41.0
186,-1936.5,43.0
187,-2263.5,47.0
188,-2584.0,50.0
189,-1184.0,55.0
190,-2917.0,56.0
191,-1500.5,58.0
192,-1811.5,60.0
193,-2132.5,64.0
194,-3289.0,66.0
195,-3595.5,68.0
196,-3907.0,70.0
197,-937.0,77.0
198,-1302.5,89.0
199,-4098.5,90.0
200,-1624.0,92.0
