episode,return_per_episode,num_frames_per_episode
1,352.5,59.0
2,-318.0,60.0
3,383.5,5.0
4,342.0,49.0
5,80.5,59.0
6,-752.5,88.0
7,469.0,13.0
8,-385.5,15.0
9,377.0,37.0
10,372.5,54.0
11,380.0,24.0
12,445.5,28.0
13,312.5,57.0
14,830.0,80.0
15,-13.0,102.0
16,-324.5,4.0
17,157.0,38.0
18,66.0,75.0
19,189.5,36.0
20,-502.0,58.0
21,219.5,66.0
22,215.0,52.0
23,151.0,69.0
24,368.0,11.0
25,183.5,63.0
26,628.0,72.0
27,-330.0,84.0
28,66.5,89.0
29,431.0,42.0
30,400.0,1.0
31,390.0,6.0
32,252.0,30.0
33,675.0,49.0
34,675.5,69.0
35,1082.0,95.0
36,292.5,114.0
37,723.5,151.0
38,-327.0,152.0
39,372.5,10.0
40,64.0,67.0
41,111.5,86.0
42,398.5,2.0
43,371.0,11.0
44,171.5,60.0
45,747.5,63.0
46,-1.5,91.0
47,306.5,20.0
48,175.0,45.0
49,-103.5,68.0
50,37.5,80.0
51,368.0,13.0
52,359.5,13.0
53,461.5,40.0
54,695.0,70.0
55,-19.0,94.0
56,300.0,19.0
57,231.5,39.0
58,203.0,68.0
59,115.0,72.0
60,374.5,27.0
61,430.0,55.0
62,381.0,9.0
63,453.0,30.0
64,147.5,52.0
65,208.5,70.0
66,361.5,13.0
67,654.0,71.0
68,87.0,75.0
69,383.0,8.0
70,-450.0,25.0
71,419.0,44.0
72,217.5,64.0
73,417.5,20.0
74,246.5,25.0
75,549.0,86.0
76,124.0,88.0
77,550.5,88.0
78,18.5,93.0
79,303.5,51.0
80,209.0,65.0
81,344.0,13.0
82,350.0,53.0
83,-66.5,61.0
84,492.5,94.0
85,669.0,118.0
86,331.0,118.0
87,803.5,154.0
88,669.0,182.0
89,806.5,209.0
90,913.0,267.0
91,780.5,297.0
92,355.5,303.0
93,1306.0,324.0
94,989.5,365.0
95,927.0,371.0
96,419.5,389.0
97,1060.0,447.0
98,-1844.5,450.0
99,-391.0,24.0
100,246.5,32.0
101,495.0,38.0
102,266.5,76.0
103,364.0,12.0
104,317.0,42.0
105,323.0,54.0
106,626.5,74.0
107,-23.0,82.0
108,401.0,40.0
109,214.5,60.0
110,192.5,77.0
111,330.0,22.0
112,110.5,42.0
113,243.0,78.0
114,146.0,41.0
115,117.0,61.0
116,-110.0,93.0
117,398.5,2.0
118,-626.5,54.0
119,13.5,62.0
120,-258.0,81.0
121,-513.5,90.0
122,221.5,31.0
123,232.0,34.0
124,430.5,41.0
125,80.0,78.0
126,377.5,10.0
127,310.0,20.0
128,-757.5,50.0
129,132.0,75.0
130,129.0,35.0
131,324.0,55.0
132,327.0,23.0
133,171.5,47.0
134,751.5,63.0
135,187.5,68.0
136,81.0,67.0
137,-43.5,73.0
138,228.0,84.0
139,128.5,89.0
140,445.0,43.0
141,113.0,63.0
142,181.5,67.0
143,46.5,89.0
144,73.5,50.0
145,-128.0,70.0
146,-234.0,77.0
147,136.5,80.0
148,-345.5,18.0
149,319.0,31.0
150,103.5,80.0
151,-215.5,96.0
152,379.5,6.0
153,187.0,34.0
154,816.5,48.0
155,221.0,48.0
156,5.0,58.0
157,-166.5,108.0
158,326.0,20.0
159,105.5,42.0
160,-360.5,64.0
161,654.5,71.0
162,-221.5,82.0
163,84.5,84.0
164,285.0,46.0
165,359.0,49.0
166,-51.5,84.0
167,-9.5,133.0
168,400.0,1.0
169,377.0,10.0
170,441.0,54.0
171,288.0,26.0
172,255.0,27.0
173,144.5,50.0
174,605.0,85.0
175,309.5,112.0
176,-368.0,127.0
177,381.5,57.0
178,110.5,75.0
179,391.0,36.0
180,213.5,39.0
181,349.5,69.0
182,299.0,19.0
183,-492.0,34.0
184,224.5,36.0
185,634.5,79.0
186,-152.0,97.0
187,395.0,4.0
188,385.0,8.0
189,131.0,75.0
190,398.5,2.0
191,186.0,32.0
192,150.5,36.0
193,184.0,81.0
194,179.5,37.0
195,236.0,40.0
196,259.0,78.0
197,355.5,13.0
198,297.0,25.0
199,-567.0,44.0
200,469.0,46.0
