episode,return_per_episode,num_frames_per_episode
1,-245.5,32.0
2,367.0,40.0
3,348.0,41.0
4,301.5,45.0
5,206.0,57.0
6,275.0,58.0
7,400.0,1.0
8,494.0,23.0
9,-91.5,40.0
10,222.5,40.0
11,-720.0,45.0
12,368.0,67.0
13,301.0,20.0
14,-332.5,21.0
15,385.5,36.0
16,444.5,52.0
17,396.5,3.0
18,234.0,33.0
19,389.5,41.0
20,846.5,41.0
21,298.0,51.0
22,117.0,59.0
23,314.0,85.0
24,396.5,3.0
25,379.0,8.0
26,289.0,26.0
27,453.0,29.0
28,401.5,32.0
29,713.0,51.0
30,291.0,55.0
31,342.0,15.0
32,473.5,23.0
33,538.5,33.0
34,72.5,36.0
35,-533.5,50.0
36,262.5,72.0
37,388.5,6.0
38,-260.5,14.0
39,-377.5,14.0
40,-357.0,16.0
41,389.0,62.0
42,398.5,2.0
43,375.0,8.0
44,236.0,30.0
45,368.5,33.0
46,140.5,43.0
47,824.0,43.0
48,186.5,65.0
49,-333.0,6.0
50,454.5,15.0
51,274.5,23.0
52,-84.0,33.0
53,419.0,44.0
54,359.0,14.0
55,343.0,17.0
56,274.0,29.0
57,274.5,43.0
58,444.0,60.0
59,360.0,11.0
60,296.5,22.0
61,278.5,25.0
62,243.5,53.0
63,305.5,54.0
64,396.5,3.0
65,356.5,14.0
66,311.0,20.0
67,160.0,36.0
68,723.5,61.0
69,-16.5,69.0
70,746.0,71.0
71,265.0,74.0
72,269.5,23.0
73,217.5,38.0
74,413.0,54.0
75,314.5,58.0
76,-382.5,16.0
77,494.5,25.0
78,345.5,30.0
79,218.0,35.0
80,26.5,52.0
81,254.0,67.0
82,74.5,68.0
83,396.5,3.0
84,484.5,8.0
85,499.5,21.0
86,138.0,38.0
87,-187.5,42.0
88,663.0,58.0
89,263.0,63.0
90,206.0,64.0
91,216.0,31.0
92,295.5,37.0
93,-46.0,44.0
94,270.0,46.0
95,344.5,56.0
96,-531.0,64.0
97,106.0,72.0
98,359.0,41.0
99,39.0,43.0
100,304.5,48.0
101,10.5,77.0
102,235.5,77.0
103,52.5,86.0
104,364.5,12.0
105,335.5,15.0
106,512.5,37.0
107,391.0,51.0
108,-384.0,11.0
109,391.0,27.0
110,138.0,38.0
111,70.0,44.0
112,107.0,50.0
113,-569.5,61.0
114,476.5,32.0
115,296.5,33.0
116,431.5,38.0
117,497.5,45.0
118,262.0,54.0
119,-180.0,31.0
120,424.5,35.0
121,460.0,37.0
122,313.0,73.0
123,392.0,5.0
124,415.5,19.0
125,202.0,62.0
126,-487.0,65.0
127,378.5,9.0
128,333.0,20.0
129,257.5,31.0
130,314.5,59.0
131,391.0,5.0
132,442.0,18.0
133,393.5,23.0
134,192.0,41.0
135,-153.0,44.0
136,813.0,62.0
137,183.5,74.0
138,392.0,5.0
139,208.0,29.0
140,241.0,31.0
141,235.5,35.0
142,433.0,48.0
143,372.0,10.0
144,448.5,15.0
145,-270.5,16.0
146,581.5,29.0
147,-60.5,59.0
148,-656.5,61.0
149,326.5,62.0
150,374.0,8.0
151,469.5,12.0
152,287.0,25.0
153,-400.5,49.0
154,389.5,6.0
155,371.0,9.0
156,346.0,29.0
157,293.0,29.0
158,-395.5,43.0
159,-27.0,86.0
160,373.0,10.0
161,448.0,16.0
162,327.0,20.0
163,293.5,33.0
164,452.5,46.0
165,398.5,2.0
166,382.0,8.0
167,515.0,21.0
168,252.0,31.0
169,789.0,57.0
170,236.0,59.0
171,-375.5,62.0
172,400.0,1.0
173,345.5,34.0
174,497.5,34.0
175,394.5,4.0
176,380.0,9.0
177,253.5,30.0
178,133.0,40.0
179,297.0,69.0
180,697.5,72.0
181,582.0,92.0
182,348.0,96.0
183,159.5,104.0
184,85.0,104.0
185,466.5,10.0
186,399.5,23.0
187,366.0,43.0
188,362.0,54.0
189,252.5,57.0
190,440.5,21.0
191,314.5,22.0
192,405.0,39.0
193,478.0,49.0
194,225.0,66.0
195,564.5,79.0
196,689.5,101.0
197,857.5,104.0
198,463.0,119.0
199,-212.5,121.0
200,393.0,5.0
